,City/County,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,CY Total
1, Allen County ,179656.95,198296.15,198852.35,170017.2,220698.15,233208.62,207534.6,222248.65,245825.97,216890.47,164501.77,282431.55,2540162.43
2, Anderson County ,99419.17,107801.82,92757.01,96370.25,122369.53,126893.61,114436.59,116107.46,122823.17,116000.97,109329.4,173739.93,1398048.91
3, Atchison County ,185101.29,215743.1,205204.58,197686.55,221956.34,229019.17,211991.3,214438.53,228991.91,219069.96,191141.28,257749.86,2578093.87
4, Barber County ,50604.13,52913.17,48676.21,51192.55,58379.28,62516.17,54357.94,53762.62,57264.24,55271.06,60790.18,81992.53,687720.08
5, Barton County ,367322.15,423958.68,392671.82,348589.39,447790.31,475422.65,426024.48,437259.74,434690.56,416877.04,422853.79,499718.62,5093179.23
6, Bourbon County ,204613.01,236593.52,216878.5,191873.53,240316.16,236051.96,238346.58,238763.2,256592.02,226813.05,190646.32,286630.9,2764118.75
7, Brown County ,108237.76,130697.72,108204.43,102704.94,128193.4,113510.05,122663.92,115738.24,115629.36,107685.45,105823.07,136309.86,1395398.2
8, Butler County ,31.13,1.2,145.51,368.91,,,35.89,75.6,965.27,28.42,,,1651.93
9, Chase County ,22764.27,20041.6,22412.77,21582.66,20011.44,26683.86,26539.77,24145.84,25604.44,25197.38,21204.18,30437.19,286625.4
10, Chautauqua County ,51508.12,49710.36,46113.76,46844.6,49706.52,55519.94,47124.27,49442.22,63742.4,54325.67,50306.34,68090.22,632434.42
11, Cherokee County ,190236.82,180629.19,207667.75,193219.25,190647.6,135010.2,130572.64,123100.16,197603.81,187353.07,159536.88,240689.9,2136267.27
12, Cheyenne County ,39718.37,52298.58,42097.13,42147.75,56452.7,42935.32,50251.49,52790.79,56116.24,50181.36,50832.81,61472.91,597295.45
13, Clay County ,93732.88,107062.11,85273.37,88694.36,113236.45,102835.81,110052.01,188934.16,115582.18,100474.11,95454.85,137487.98,1338820.27
14, Cloud County ,108337.63,120509.61,116275.49,112122.53,125983.36,137205.78,131879.79,126058.69,128508.59,118463.14,110159.62,153822.98,1489327.21
15, Cowley County ,,427.12,69.16,102.4,185.77,51.54,82.47,34.27,131.67,,,,1084.4
16, Crawford County ,437663.23,501988.27,440995.33,403349.99,511714.99,513800.27,488549.48,466848.48,518516.32,491748.68,394062.94,626045.28,5795283.26
17, Decatur County ,26483.66,23374.67,21868.76,18334.55,26922.6,21825.82,22091.99,27199.68,29616.17,25406.03,26116.36,29491.54,298731.83
18, Dickinson County ,278898.22,281013.2,275569.85,256203.17,305878.21,337582.01,311403.36,311978.82,330305.08,307913.48,243055.63,375366.11,3615167.14
19, Doniphan County ,63434.84,50973.64,48291.79,51287.16,15627.88,53210.15,58579.17,57999.58,60039.4,50201.4,43396.6,66058.77,619100.38
20, Douglas County ,1749368.23,2036249.18,1862244.24,1675934.2,2105164.8,2106066.16,2068914.21,1934091.6,2125628.43,2088614.81,1732279.89,2537733.38,24022289.13
21, Edwards County ,24529.08,25876.12,35160.76,20953.84,27680.67,24009.88,32110.81,23166.78,22235.73,24639.99,32378.62,28383.0,321125.28
22, Elk County ,19982.62,21409.5,18404.35,17977.71,23742.18,25661.53,18656.81,24150.12,24102.41,22237.25,27759.19,30889.26,274972.93
23, Ellis County ,265770.25,296893.18,281839.6,237666.88,324204.93,311989.61,296638.47,324977.79,337936.37,426487.58,310927.86,389569.07,3804901.59
24, Ellsworth County ,50019.49,57700.33,51864.67,45965.78,53099.54,59736.83,56583.29,57576.42,58313.59,64451.03,53533.84,75518.25,684363.06
25, Finney County ,880941.42,984095.42,945580.83,846373.97,1091750.83,1012857.1,1055795.07,999487.35,1039460.91,1115958.73,991829.59,1187422.86,12151554.08
26, Ford County ,482404.81,535020.55,509363.31,474816.62,595825.16,568704.18,576809.36,572577.32,592895.76,594551.28,459709.02,672156.65,6634834.02
27, Franklin County ,435474.55,448739.99,423838.17,418485.37,524777.43,517676.26,475214.31,570541.34,491313.26,490054.75,450832.58,533478.54,5780426.55
28, Geary County ,488060.08,512943.64,531901.9,451519.63,598240.68,558613.78,536406.16,497834.86,522926.61,477365.96,359536.54,589540.62,6124890.46
29, Gove County ,81380.6,88685.49,84971.95,80662.74,96910.42,99380.98,98621.75,95570.48,104953.22,102176.67,103683.96,119604.38,1156602.64
30, Graham County ,23133.94,25660.2,26704.72,22296.46,32919.6,36636.88,27446.42,33278.14,29741.73,29025.29,35125.05,39513.7,361482.13
31, Gray County ,61077.37,56727.89,57632.53,60866.95,65920.48,92387.27,64447.93,74052.17,86380.86,79247.58,74266.89,78708.1,851716.02
32, Greeley County ,12306.18,11004.4,22357.57,12607.23,17696.18,12299.34,13961.06,16648.6,13293.76,15663.3,17658.72,20159.82,185656.16
33, Greenwood County ,67188.81,70117.52,62787.96,60818.83,62785.76,75841.68,74942.89,81314.13,54574.37,47830.09,58945.18,58920.74,776067.96
34, Hamilton County ,26632.51,26041.75,30390.33,26214.29,29720.65,30837.85,31963.96,29352.97,30382.22,33578.23,29917.51,36176.85,361209.12
35, Harvey County ,647913.66,799236.37,694837.2,659722.12,785916.04,737721.98,790386.87,696937.74,750081.26,684513.06,559877.1,912253.44,8719396.84
36, Haskell County ,17257.75,34243.05,17101.57,18279.1,23321.26,21242.04,20429.59,22626.92,23657.31,28185.53,27288.12,24994.17,278626.41
37, Hodgeman County ,14918.61,17210.72,15409.33,14670.76,13525.18,16910.86,16199.02,15979.15,17726.27,14077.16,11150.52,20835.57,188613.15
38, Jackson County ,167403.36,192572.0,171265.71,161967.31,196408.19,185614.24,187129.02,179601.59,181851.45,153178.62,152474.25,207033.13,2136498.87
39, Jefferson County ,108807.08,106155.62,114315.07,101979.27,127949.51,126563.23,120213.78,122611.67,128941.61,114686.05,137100.98,160836.31,1470160.18
40, Jewell County ,17166.63,20075.72,20612.28,22385.19,21804.25,20962.64,20139.77,24256.97,20723.36,25129.71,25788.66,23677.65,262722.83
41, Johnson County ,14699260.09,15431111.41,14579711.2,13432072.99,15955843.86,16711861.32,16894571.2,16127762.66,17508192.66,17196551.47,13246944.21,19936822.88,191720705.95
42, Kingman County ,139501.52,162173.36,114801.53,109641.85,119987.67,135629.52,104790.54,101343.56,128297.18,108123.81,101084.36,168623.29,1493998.19
43, Kiowa County ,21867.78,27932.66,22782.95,19882.31,23564.3,24977.19,25171.89,24709.96,25488.14,26545.75,27543.35,33381.07,303847.35
44, Labette County ,277331.95,269056.1,254875.26,232733.73,272331.0,258340.31,266292.53,250180.97,279105.92,251213.58,200707.58,317004.33,3129173.26
45, Lane County ,16073.43,15471.67,18295.06,12502.89,18457.57,16843.6,17221.28,17766.5,18193.14,20538.69,14462.01,21518.86,207344.7
46, Leavenworth County ,635607.99,738506.5,659724.53,619137.43,744607.5,744260.8,710546.58,698529.47,768503.35,802913.35,651168.1,866791.43,8640297.03
47, Lincoln County ,27975.95,37490.87,32186.23,32307.53,33811.91,33540.16,31771.55,36401.65,32330.52,31150.69,34187.29,45305.88,408460.23
48, Linn County ,65881.93,59893.36,65011.3,68266.51,72159.49,76498.62,71426.85,63170.9,74037.34,83349.48,86857.41,81163.62,867716.81
49, Logan County ,40528.26,52864.25,49861.08,37243.88,53469.5,46876.49,45759.87,63104.38,57812.1,61994.22,48033.61,65242.26,622789.9
50, Lyon County ,380785.24,455664.98,402995.44,395000.93,481755.54,470591.85,455049.41,460990.54,468358.62,417880.57,353654.67,553769.15,5296496.94
51, Marion County ,94447.23,100032.08,101512.46,95110.87,105983.17,109311.62,102460.47,100529.99,109485.73,106388.24,88328.15,131625.77,1245215.78
52, Marshall County ,61295.17,69305.2,60905.95,57637.46,67409.76,68114.94,69383.98,75995.7,79966.14,76321.91,102025.75,84815.4,873177.36
53, Mcpherson County ,552172.6,597899.75,582844.19,522768.82,665451.93,637380.79,610294.86,633797.53,653210.83,664448.25,716169.46,773411.45,7609850.46
54, Meade County ,33555.71,34191.88,36059.03,31753.14,41840.72,33864.76,38249.46,44181.24,63075.84,56013.57,50426.05,61782.96,524994.36
55, Miami County ,499405.53,520847.78,484277.76,495981.72,583911.64,542658.61,535713.38,521634.35,589078.48,539319.28,400851.78,708048.06,6421728.37
56, Mitchell County ,88696.11,90251.95,86503.26,91807.26,111183.97,116770.14,124198.55,110094.75,98549.52,96874.47,93972.02,114449.31,1223351.31
57, Montgomery County ,,,,,,,,,,,,,
